timestamp,routing_key,headers.name,headers.user_who_performed_action,count
2020-05-04 19:08:38,channel.created,10.238.22.7:35540 -> 10.238.22.5:5672 (1),bus-consolesaas,1
2020-05-04 19:09:53,channel.created,10.238.22.6:55420 -> 10.238.22.5:5672 (1),bus-consolesaas,1
2020-05-04 20:30:13,channel.created,10.238.22.6:55420 -> 10.238.22.5:5672 (1),bus-consolesaas,1
2020-05-04 20:33:58,channel.created,10.238.22.6:55420 -> 10.238.22.5:5672 (1),bus-consolesaas,1
2020-05-04 22:02:12,channel.created,10.238.22.6:55420 -> 10.238.22.5:5672 (1),bus-consolesaas,1
2020-05-04 22:02:15,channel.created,10.238.22.6:55420 -> 10.238.22.5:5672 (1),bus-consolesaas,1
2020-05-04 22:02:19,channel.created,10.238.22.6:55420 -> 10.238.22.5:5672 (1),bus-consolesaas,1
2020-05-04 22:02:21,channel.created,10.238.22.6:55420 -> 10.238.22.5:5672 (1),bus-consolesaas,1
2020-05-04 22:02:29,channel.created,10.238.22.6:55420 -> 10.238.22.5:5672 (1),bus-consolesaas,2
2020-05-04 22:45:45,channel.created,10.238.22.6:55420 -> 10.238.22.5:5672 (1),bus-consolesaas,1
2020-05-04 22:45:46,channel.created,10.238.22.6:55420 -> 10.238.22.5:5672 (1),bus-consolesaas,5
2020-05-04 22:45:46,channel.created,10.238.22.7:35540 -> 10.238.22.5:5672 (1),bus-consolesaas,3
2020-05-04 22:45:47,channel.created,10.238.22.6:55420 -> 10.238.22.5:5672 (1),bus-consolesaas,3
2020-05-04 22:45:47,channel.created,10.238.22.7:35540 -> 10.238.22.5:5672 (1),bus-consolesaas,6
2020-05-04 22:45:48,channel.created,10.238.22.6:55420 -> 10.238.22.5:5672 (1),bus-consolesaas,6
2020-05-04 22:45:48,channel.created,10.238.22.7:35540 -> 10.238.22.5:5672 (1),bus-consolesaas,3
2020-05-04 22:45:49,channel.created,10.238.22.6:55420 -> 10.238.22.5:5672 (1),bus-consolesaas,6
2020-05-04 22:45:49,channel.created,10.238.22.7:35540 -> 10.238.22.5:5672 (1),bus-consolesaas,6
2020-05-04 22:45:50,channel.created,10.238.22.6:55420 -> 10.238.22.5:5672 (1),bus-consolesaas,4
2020-05-04 22:45:50,channel.created,10.238.22.7:35540 -> 10.238.22.5:5672 (1),bus-consolesaas,6
2020-05-04 22:45:51,channel.created,10.238.22.6:55420 -> 10.238.22.5:5672 (1),bus-consolesaas,4
2020-05-04 22:45:51,channel.created,10.238.22.7:35540 -> 10.238.22.5:5672 (1),bus-consolesaas,3
2020-05-04 22:45:52,channel.created,10.238.22.6:55420 -> 10.238.22.5:5672 (1),bus-consolesaas,5
2020-05-04 22:45:52,channel.created,10.238.22.7:35540 -> 10.238.22.5:5672 (1),bus-consolesaas,6
2020-05-04 22:45:53,channel.created,10.238.22.6:55420 -> 10.238.22.5:5672 (1),bus-consolesaas,6
2020-05-04 22:45:53,channel.created,10.238.22.7:35540 -> 10.238.22.5:5672 (1),bus-consolesaas,6
2020-05-04 22:45:54,channel.created,10.238.22.6:55420 -> 10.238.22.5:5672 (1),bus-consolesaas,6
2020-05-04 22:45:54,channel.created,10.238.22.7:35540 -> 10.238.22.5:5672 (1),bus-consolesaas,6
2020-05-04 22:45:55,channel.created,10.238.22.6:55420 -> 10.238.22.5:5672 (1),bus-consolesaas,5
2020-05-04 22:45:55,channel.created,10.238.22.7:35540 -> 10.238.22.5:5672 (1),bus-consolesaas,6
2020-05-04 22:45:56,channel.created,10.238.22.6:55420 -> 10.238.22.5:5672 (1),bus-consolesaas,6
2020-05-04 22:45:56,channel.created,10.238.22.7:35540 -> 10.238.22.5:5672 (1),bus-consolesaas,6
2020-05-04 22:45:57,channel.created,10.238.22.6:55420 -> 10.238.22.5:5672 (1),bus-consolesaas,4
2020-05-04 22:45:57,channel.created,10.238.22.7:35540 -> 10.238.22.5:5672 (1),bus-consolesaas,4
2020-05-04 22:45:58,channel.created,10.238.22.6:55420 -> 10.238.22.5:5672 (1),bus-consolesaas,5
2020-05-04 22:45:58,channel.created,10.238.22.7:35540 -> 10.238.22.5:5672 (1),bus-consolesaas,2
2020-05-04 22:45:59,channel.created,10.238.22.6:55420 -> 10.238.22.5:5672 (1),bus-consolesaas,5
2020-05-04 22:45:59,channel.created,10.238.22.7:35540 -> 10.238.22.5:5672 (1),bus-consolesaas,6
2020-05-04 22:46:00,channel.created,10.238.22.6:55420 -> 10.238.22.5:5672 (1),bus-consolesaas,6
2020-05-04 22:46:00,channel.created,10.238.22.7:35540 -> 10.238.22.5:5672 (1),bus-consolesaas,5
