timestamp,seconds,user_id,event_type,cl_0,cl_1,cl_2,cl_3,cl_4,cl_5,cl_6,cl_7,cl_8,cl_9,cl_10,cl_11,cl_12,cl_13,cl_14,cl_15,cl_16,cl_17,cl_18,cl_19,count
2019-06-06 09:43:00,21,278583,PROFILE_CREATED,10193,4100,7956,8561,213984,9490,16749.0,21951.0,9005.0,9623.0,221528.0,18318.0,8580.0,16208.0,2397613.0,193448.0,11088.0,8136.0,5238.0,23082.0,1
2019-06-24 06:29:00,17,261470,PROFILE_CREATED,53866,42635,42666,52759,47692,42670,42667.0,42636.0,54200.0,47358.0,51547.0,42640.0,45393.0,42641.0,42675.0,53104.0,47690.0,52439.0,42642.0,47689.0,1
2019-06-24 20:02:00,12,261470,PROFILE_UPDATED,53866,42635,42666,52759,47692,42670,54200.0,42636.0,42667.0,47358.0,51547.0,45393.0,42640.0,42641.0,42675.0,53104.0,52439.0,47690.0,42642.0,47689.0,1
2019-06-24 20:46:00,40,261470,PROFILE_UPDATED,53866,42635,42666,52759,47692,42670,42667.0,42636.0,54200.0,47358.0,51547.0,42640.0,45393.0,42641.0,42675.0,53104.0,47690.0,52439.0,42642.0,47689.0,1
2019-06-25 20:02:00,9,261470,PROFILE_UPDATED,53866,42635,42666,52759,47692,42670,54200.0,42636.0,42667.0,47358.0,51547.0,45393.0,42640.0,42641.0,42675.0,53104.0,52439.0,47690.0,42642.0,47689.0,1
2019-06-25 20:46:00,20,261470,PROFILE_UPDATED,53866,42635,42666,52759,47692,42670,42667.0,42636.0,54200.0,47358.0,51547.0,42640.0,45393.0,42641.0,42675.0,53104.0,47690.0,52439.0,42642.0,47689.0,1
2019-06-26 20:02:00,10,261470,PROFILE_UPDATED,53866,42635,42666,52759,47692,42670,54200.0,42636.0,42667.0,47358.0,51547.0,45393.0,42640.0,42641.0,42675.0,53104.0,52439.0,47690.0,42642.0,47689.0,1
2019-06-26 20:47:00,6,261470,PROFILE_UPDATED,53866,42635,42666,52759,47692,42670,42667.0,42636.0,54200.0,47358.0,51547.0,42640.0,45393.0,42641.0,42675.0,53104.0,47690.0,52439.0,42642.0,47689.0,1
2019-06-27 20:02:00,10,261470,PROFILE_UPDATED,53866,42635,42666,52759,47692,42670,54200.0,42636.0,42667.0,47358.0,51547.0,45393.0,42640.0,42641.0,42675.0,53104.0,52439.0,47690.0,42642.0,47689.0,1
2019-06-27 20:46:00,59,261470,PROFILE_UPDATED,53866,42635,42666,52759,47692,42670,42667.0,42636.0,54200.0,47358.0,51547.0,42640.0,45393.0,42641.0,42675.0,53104.0,47690.0,52439.0,42642.0,47689.0,1
