timestamp,routing_key,headers.name,headers.user_who_performed_action,count
2019-01-28 14:38:49,connection.created,10.238.28.1:38128 -> 10.238.28.5:5672,bus-consolesaas,1
2019-01-28 14:38:50,channel.created,10.238.28.1:38128 -> 10.238.28.5:5672 (1),bus-consolesaas,72
2019-01-28 14:39:13,connection.created,10.238.28.1:38130 -> 10.238.28.5:5672,bus-consolesaas,1
2019-01-28 14:39:14,channel.created,10.238.28.1:38130 -> 10.238.28.5:5672 (1),bus-consolesaas,2
2019-01-28 14:39:14,channel.created,10.238.28.1:38130 -> 10.238.28.5:5672 (2),bus-consolesaas,2
2019-01-28 14:39:14,channel.created,10.238.28.1:38130 -> 10.238.28.5:5672 (3),bus-consolesaas,2
2019-01-28 14:40:10,connection.created,10.238.28.1:35406 -> 10.238.28.5:5672,bus-consolesaas,1
2019-01-28 14:40:12,channel.created,10.238.28.1:35406 -> 10.238.28.5:5672 (1),bus-consolesaas,72
2019-01-28 14:40:19,channel.created,10.238.28.1:38178 -> 10.238.28.5:5672 (1),bus-consolesaas,2
2019-01-28 14:40:19,channel.created,10.238.28.1:38178 -> 10.238.28.5:5672 (2),bus-consolesaas,2
2019-01-28 14:40:19,channel.created,10.238.28.1:38178 -> 10.238.28.5:5672 (3),bus-consolesaas,2
2019-01-28 14:40:19,connection.created,10.238.28.1:38178 -> 10.238.28.5:5672,bus-consolesaas,1
2019-01-28 14:40:26,connection.created,10.238.28.1:35452 -> 10.238.28.5:5672,bus-consolesaas,1
2019-01-28 14:40:27,channel.created,10.238.28.1:35452 -> 10.238.28.5:5672 (1),bus-consolesaas,60
2019-01-28 14:40:28,channel.created,10.238.28.1:35452 -> 10.238.28.5:5672 (1),bus-consolesaas,12
2019-01-28 14:47:48,connection.created,10.238.28.1:38264 -> 10.238.28.5:5672,bus-consolesaas,1
2019-01-28 14:47:50,channel.created,10.238.28.1:38264 -> 10.238.28.5:5672 (1),bus-consolesaas,72
2019-01-28 14:48:33,channel.created,10.238.28.1:38266 -> 10.238.28.5:5672 (1),bus-consolesaas,2
2019-01-28 14:48:33,channel.created,10.238.28.1:38266 -> 10.238.28.5:5672 (2),bus-consolesaas,2
2019-01-28 14:48:33,channel.created,10.238.28.1:38266 -> 10.238.28.5:5672 (3),bus-consolesaas,2
2019-01-28 14:48:33,connection.created,10.238.28.1:38266 -> 10.238.28.5:5672,bus-consolesaas,1
2019-01-28 14:50:19,connection.created,10.238.28.1:38270 -> 10.238.28.5:5672,bus-consolesaas,1
2019-01-28 14:50:20,channel.created,10.238.28.1:38270 -> 10.238.28.5:5672 (1),bus-consolesaas,2
2019-01-28 14:50:20,channel.created,10.238.28.1:38270 -> 10.238.28.5:5672 (2),bus-consolesaas,2
2019-01-28 14:50:20,channel.created,10.238.28.1:38270 -> 10.238.28.5:5672 (3),bus-consolesaas,2
2019-01-28 14:50:24,connection.created,10.238.28.1:35544 -> 10.238.28.5:5672,bus-consolesaas,1
2019-01-28 14:50:26,channel.created,10.238.28.1:35544 -> 10.238.28.5:5672 (1),bus-consolesaas,72
2019-01-28 15:05:33,connection.created,10.238.28.1:38372 -> 10.238.28.5:5672,bus-consolesaas,1
2019-01-28 15:05:34,channel.created,10.238.28.1:38372 -> 10.238.28.5:5672 (1),bus-consolesaas,72
2019-01-28 15:15:52,channel.created,10.238.28.1:38374 -> 10.238.28.5:5672 (1),bus-consolesaas,2
2019-01-28 15:15:52,channel.created,10.238.28.1:38374 -> 10.238.28.5:5672 (2),bus-consolesaas,2
2019-01-28 15:15:52,channel.created,10.238.28.1:38374 -> 10.238.28.5:5672 (3),bus-consolesaas,2
2019-01-28 15:15:52,connection.created,10.238.28.1:38374 -> 10.238.28.5:5672,bus-consolesaas,1
2019-01-29 09:47:41,channel.created,10.238.28.3:36086 -> 10.238.28.5:5672 (1),bus-consolesaas,1
2019-01-29 09:47:47,channel.created,10.238.28.3:36086 -> 10.238.28.5:5672 (1),bus-consolesaas,1
2019-01-30 08:36:31,channel.created,10.238.28.3:36086 -> 10.238.28.5:5672 (1),bus-consolesaas,1
2019-01-30 08:40:26,channel.created,10.238.28.3:36086 -> 10.238.28.5:5672 (1),bus-consolesaas,1
2019-01-30 08:41:01,channel.created,10.238.28.3:36086 -> 10.238.28.5:5672 (1),bus-consolesaas,1
2019-01-30 08:41:04,channel.created,10.238.28.3:36086 -> 10.238.28.5:5672 (1),bus-consolesaas,1
2019-01-30 08:42:22,channel.created,10.238.28.3:36086 -> 10.238.28.5:5672 (1),bus-consolesaas,1
2019-01-30 08:42:25,channel.created,10.238.28.3:36086 -> 10.238.28.5:5672 (1),bus-consolesaas,1
2019-01-30 08:44:50,channel.created,10.238.28.3:36086 -> 10.238.28.5:5672 (1),bus-consolesaas,1
2019-01-30 08:44:53,channel.created,10.238.28.3:36086 -> 10.238.28.5:5672 (1),bus-consolesaas,1
2019-01-30 15:16:09,channel.created,10.238.28.3:36086 -> 10.238.28.5:5672 (1),bus-consolesaas,1
2019-01-30 15:16:20,channel.created,10.238.28.3:36086 -> 10.238.28.5:5672 (1),bus-consolesaas,1
2019-01-30 23:02:05,channel.created,10.238.28.3:36086 -> 10.238.28.5:5672 (1),bus-consolesaas,6
2019-01-31 08:13:47,connection.created,10.34.132.254:60081 -> 10.238.28.5:5672,bus-consolesaas,1
2019-01-31 08:13:48,channel.created,10.34.132.254:60081 -> 10.238.28.5:5672 (1),bus-consolesaas,1
2019-01-31 13:06:32,channel.created,10.34.132.254:64204 -> 10.238.28.5:5672 (1),bus-consolesaas,1
2019-01-31 13:06:32,connection.created,10.34.132.254:64204 -> 10.238.28.5:5672,bus-consolesaas,1
2019-01-31 23:02:05,channel.created,10.238.28.3:36086 -> 10.238.28.5:5672 (1),bus-consolesaas,19
2019-01-31 23:02:06,channel.created,10.238.28.3:36086 -> 10.238.28.5:5672 (1),bus-consolesaas,47
2019-01-31 23:02:07,channel.created,10.238.28.3:36086 -> 10.238.28.5:5672 (1),bus-consolesaas,23
2019-02-01 08:19:07,channel.created,10.34.132.254:60026 -> 10.238.28.5:5672 (1),bus-consolesaas,1
2019-02-01 08:19:07,connection.created,10.34.132.254:60026 -> 10.238.28.5:5672,bus-consolesaas,1
2019-02-01 09:56:17,channel.created,10.238.28.3:36086 -> 10.238.28.5:5672 (1),bus-consolesaas,1
2019-02-01 09:57:11,channel.created,10.238.28.3:36086 -> 10.238.28.5:5672 (1),bus-consolesaas,1
2019-02-01 09:59:39,channel.created,10.238.28.3:36086 -> 10.238.28.5:5672 (1),bus-consolesaas,1
2019-02-01 12:50:41,channel.created,10.34.132.254:61356 -> 10.238.28.5:5672 (1),bus-consolesaas,1
2019-02-01 12:50:41,connection.created,10.34.132.254:61356 -> 10.238.28.5:5672,bus-consolesaas,1
2019-02-01 13:30:05,channel.created,10.238.28.3:36086 -> 10.238.28.5:5672 (1),bus-consolesaas,1
2019-02-02 02:12:18,vhost.down,/,rmq-internal,1
2019-02-02 02:13:33,channel.created,10.238.15.51:61132 -> 10.238.28.5:5672 (1),bus-blsenior,1
2019-02-02 02:13:33,connection.created,10.238.15.51:61132 -> 10.238.28.5:5672,bus-blsenior,1
2019-02-02 02:13:34,channel.created,86.65.167.130:57052 -> 10.238.28.5:5672 (1),bus-consolesaas,1
2019-02-02 02:13:34,connection.created,86.65.167.130:57052 -> 10.238.28.5:5672,bus-consolesaas,1
2019-02-02 02:13:36,connection.created,10.238.28.3:38230 -> 10.238.28.5:5672,bus-consolesaas,1
2019-02-02 02:13:36,connection.created,10.238.28.3:38231 -> 10.238.28.5:5672,bus-consolesaas,1
2019-02-02 02:13:36,connection.created,10.238.28.3:38234 -> 10.238.28.5:5672,bus-consolesaas,1
2019-02-02 02:13:37,channel.created,10.238.28.1:43956 -> 10.238.28.5:5672 (1),bus-consolesaas,1
2019-02-02 02:13:37,channel.created,10.238.28.1:43956 -> 10.238.28.5:5672 (2),bus-consolesaas,1
2019-02-02 02:13:37,channel.created,10.238.28.1:43956 -> 10.238.28.5:5672 (3),bus-consolesaas,1
2019-02-02 02:13:37,channel.created,10.238.28.1:46910 -> 10.238.28.5:5672 (1),bus-legibase,1
2019-02-02 02:13:37,channel.created,10.238.28.1:52166 -> 10.238.28.5:5672 (1),bus-consolesaas,1
2019-02-02 02:13:37,channel.created,10.238.28.1:52166 -> 10.238.28.5:5672 (2),bus-consolesaas,1
2019-02-02 02:13:37,channel.created,10.238.28.1:52166 -> 10.238.28.5:5672 (3),bus-consolesaas,1
2019-02-02 02:13:37,connection.created,10.238.28.1:43956 -> 10.238.28.5:5672,bus-consolesaas,1
2019-02-02 02:13:37,connection.created,10.238.28.1:46910 -> 10.238.28.5:5672,bus-legibase,1
2019-02-02 02:13:37,connection.created,10.238.28.1:52166 -> 10.238.28.5:5672,bus-consolesaas,1
2019-02-02 02:23:58,connection.created,10.238.28.3:60150 -> 10.238.28.5:5672,bus-consolesaas,1
2019-02-02 02:23:58,connection.created,10.238.28.3:60152 -> 10.238.28.5:5672,bus-consolesaas,1
2019-02-02 02:23:58,connection.created,10.238.28.3:60154 -> 10.238.28.5:5672,bus-consolesaas,1
2019-02-03 02:11:12,connection.created,10.238.28.1:51452 -> 10.238.28.5:5672,bus-legibase,1
2019-02-03 02:11:13,channel.created,10.238.28.1:51452 -> 10.238.28.5:5672 (1),bus-legibase,2
2019-02-03 02:11:13,connection.created,10.238.28.1:34562 -> 10.238.28.5:5672,bus-consolesaas,1
2019-02-03 02:11:13,connection.created,10.238.28.1:60884 -> 10.238.28.5:5672,bus-consolesaas,1
2019-02-03 02:11:14,channel.created,10.238.28.1:34562 -> 10.238.28.5:5672 (1),bus-consolesaas,2
2019-02-03 02:11:14,channel.created,10.238.28.1:34562 -> 10.238.28.5:5672 (2),bus-consolesaas,2
2019-02-03 02:11:14,channel.created,10.238.28.1:34562 -> 10.238.28.5:5672 (3),bus-consolesaas,2
2019-02-03 02:11:14,channel.created,10.238.28.1:60884 -> 10.238.28.5:5672 (1),bus-consolesaas,2
2019-02-03 02:11:14,channel.created,10.238.28.1:60884 -> 10.238.28.5:5672 (2),bus-consolesaas,2
2019-02-03 02:11:14,channel.created,10.238.28.1:60884 -> 10.238.28.5:5672 (3),bus-consolesaas,2
2019-02-04 09:37:37,channel.created,10.238.28.3:60152 -> 10.238.28.5:5672 (1),bus-consolesaas,1
2019-02-04 09:37:50,channel.created,10.238.28.3:60152 -> 10.238.28.5:5672 (1),bus-consolesaas,1
2019-02-04 09:39:39,channel.created,10.238.28.3:60152 -> 10.238.28.5:5672 (1),bus-consolesaas,1
2019-02-04 09:39:47,channel.created,10.238.28.3:60152 -> 10.238.28.5:5672 (1),bus-consolesaas,1
2019-02-04 12:52:49,channel.created,10.238.28.3:60152 -> 10.238.28.5:5672 (1),bus-consolesaas,1
